Medida,CodMedida,Grupo,CodGrupo,Consumo,Territorio,Año
Energía eléctrica,1,Hostelería,7,880154.47,Canarias,2020
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2771024.27,Canarias,2020
Energía eléctrica,1,Hogares,9,2813023.75,Canarias,2020
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,171066.44,Canarias,2020
Energía eléctrica,1,No especificado en otras categorías - Otros,11,159066.19,Canarias,2020
Número de clientes (CUPS),2,Disponible para consumo final,1,1216393,Canarias,2020
Número de clientes (CUPS),2,Diferencias estadísticas,2,27136,Canarias,2020
Número de clientes (CUPS),2,Consumo final,3,1189257,Canarias,2020
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,234,Canarias,2020
Número de clientes (CUPS),2,Sector industrial,5,26228,Canarias,2020
Número de clientes (CUPS),2,Sector del transporte,6,711,Canarias,2020
Número de clientes (CUPS),2,Hostelería,7,41346,Canarias,2020
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,101440,Canarias,2020
Número de clientes (CUPS),2,Hogares,9,987318,Canarias,2020
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,14070,Canarias,2020
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,17910,Canarias,2020
Energía eléctrica,1,Disponible para consumo final,1,8340263.08,Canarias,2019
Energía eléctrica,1,Diferencias estadísticas,2,46446.76,Canarias,2019
Energía eléctrica,1,Consumo final,3,8293816.32,Canarias,2019
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,20735.37,Canarias,2019
Energía eléctrica,1,Sector industrial,5,517482.61,Canarias,2019
Energía eléctrica,1,Sector del transporte,6,242743.64,Canarias,2019
Energía eléctrica,1,Hostelería,7,1327580.76,Canarias,2019
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2786101.71,Canarias,2019
Energía eléctrica,1,Hogares,9,2915356.9,Canarias,2019
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,144685.91,Canarias,2019
Energía eléctrica,1,No especificado en otras categorías - Otros,11,339129.42,Canarias,2019
Número de clientes (CUPS),2,Disponible para consumo final,1,1210624,Canarias,2019
Número de clientes (CUPS),2,Diferencias estadísticas,2,-6452,Canarias,2019
Número de clientes (CUPS),2,Consumo final,3,1217076,Canarias,2019
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,131,Canarias,2019
Número de clientes (CUPS),2,Sector industrial,5,22246,Canarias,2019
Número de clientes (CUPS),2,Sector del transporte,6,23950,Canarias,2019
Número de clientes (CUPS),2,Hostelería,7,42885,Canarias,2019
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,83375,Canarias,2019
Número de clientes (CUPS),2,Hogares,9,1008842,Canarias,2019
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,14471,Canarias,2019
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,21176,Canarias,2019
Energía eléctrica,1,Disponible para consumo final,1,8283203.28,Canarias,2018
Energía eléctrica,1,Diferencias estadísticas,2,-3576.43,Canarias,2018
Energía eléctrica,1,Consumo final,3,8286779.72,Canarias,2018
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,15092.73,Canarias,2018
Energía eléctrica,1,Sector industrial,5,494253.75,Canarias,2018
Energía eléctrica,1,Sector del transporte,6,265497.78,Canarias,2018
Energía eléctrica,1,Hostelería,7,1358334.23,Canarias,2018
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2835028.65,Canarias,2018
Energía eléctrica,1,Hogares,9,2959045.77,Canarias,2018
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,145126.2,Canarias,2018
Energía eléctrica,1,No especificado en otras categorías - Otros,11,214400.61,Canarias,2018
Número de clientes (CUPS),2,Disponible para consumo final,1,1202344,Canarias,2018
Número de clientes (CUPS),2,Diferencias estadísticas,2,880,Canarias,2018
Número de clientes (CUPS),2,Consumo final,3,1201464,Canarias,2018
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,118,Canarias,2018
Número de clientes (CUPS),2,Sector industrial,5,21941,Canarias,2018
Número de clientes (CUPS),2,Sector del transporte,6,24546,Canarias,2018
Número de clientes (CUPS),2,Hostelería,7,44176,Canarias,2018
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,83105,Canarias,2018
Número de clientes (CUPS),2,Hogares,9,999855,Canarias,2018
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,14572,Canarias,2018
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,13151,Canarias,2018
Energía eléctrica,1,Disponible para consumo final,1,8326368.73,Canarias,2017
Energía eléctrica,1,Diferencias estadísticas,2,56316.91,Canarias,2017
Energía eléctrica,1,Consumo final,3,8270051.83,Canarias,2017
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,11530.38,Canarias,2017
Energía eléctrica,1,Sector industrial,5,492232.61,Canarias,2017
Energía eléctrica,1,Sector del transporte,6,266572.72,Canarias,2017
Energía eléctrica,1,Hostelería,7,1417177.08,Canarias,2017
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2957822.5,Canarias,2017
Energía eléctrica,1,Hogares,9,2838723.61,Canarias,2017
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,175682.77,Canarias,2017
Energía eléctrica,1,No especificado en otras categorías - Otros,11,110310.15,Canarias,2017
Número de clientes (CUPS),2,Disponible para consumo final,1,1193114,Canarias,2017
Número de clientes (CUPS),2,Diferencias estadísticas,2,-5236,Canarias,2017
Número de clientes (CUPS),2,Consumo final,3,1198350,Canarias,2017
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,100,Canarias,2017
Número de clientes (CUPS),2,Sector industrial,5,21572,Canarias,2017
Número de clientes (CUPS),2,Sector del transporte,6,25214,Canarias,2017
Número de clientes (CUPS),2,Hostelería,7,46371,Canarias,2017
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,84436,Canarias,2017
Número de clientes (CUPS),2,Hogares,9,991382,Canarias,2017
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,14960,Canarias,2017
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,14315,Canarias,2017
Energía eléctrica,1,Disponible para consumo final,1,8161928.43,Canarias,2016
Energía eléctrica,1,Diferencias estadísticas,2,41536.38,Canarias,2016
Energía eléctrica,1,Consumo final,3,8120392.04,Canarias,2016
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,15812.59,Canarias,2016
Energía eléctrica,1,Sector industrial,5,489484.44,Canarias,2016
Energía eléctrica,1,Sector del transporte,6,256245.08,Canarias,2016
Energía eléctrica,1,Hostelería,7,1381490.64,Canarias,2016
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2851425.72,Canarias,2016
Energía eléctrica,1,Hogares,9,2869839.48,Canarias,2016
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,156859.61,Canarias,2016
Energía eléctrica,1,No especificado en otras categorías - Otros,11,99234.48,Canarias,2016
Número de clientes (CUPS),2,Disponible para consumo final,1,1183779,Canarias,2016
Número de clientes (CUPS),2,Diferencias estadísticas,2,-428,Canarias,2016
Número de clientes (CUPS),2,Consumo final,3,1184207,Canarias,2016
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,110,Canarias,2016
Número de clientes (CUPS),2,Sector industrial,5,21271,Canarias,2016
Número de clientes (CUPS),2,Sector del transporte,6,25489,Canarias,2016
Número de clientes (CUPS),2,Hostelería,7,46069,Canarias,2016
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,85124,Canarias,2016
Número de clientes (CUPS),2,Hogares,9,987953,Canarias,2016
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,14963,Canarias,2016
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,3228,Canarias,2016
Energía eléctrica,1,Disponible para consumo final,1,8029058.19,Canarias,2015
Energía eléctrica,1,Diferencias estadísticas,2,30030.84,Canarias,2015
Energía eléctrica,1,Consumo final,3,7999027.35,Canarias,2015
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,14455.55,Canarias,2015
Energía eléctrica,1,Sector industrial,5,495926.58,Canarias,2015
Energía eléctrica,1,Sector del transporte,6,284939.21,Canarias,2015
Energía eléctrica,1,Hostelería,7,1332958.98,Canarias,2015
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2771077.71,Canarias,2015
Energía eléctrica,1,Hogares,9,2844454.03,Canarias,2015
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,155802.06,Canarias,2015
Energía eléctrica,1,No especificado en otras categorías - Otros,11,99413.24,Canarias,2015
Número de clientes (CUPS),2,Disponible para consumo final,1,1180913,Canarias,2015
Número de clientes (CUPS),2,Diferencias estadísticas,2,-696,Canarias,2015
Número de clientes (CUPS),2,Consumo final,3,1181609,Canarias,2015
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,92,Canarias,2015
Número de clientes (CUPS),2,Sector industrial,5,21267,Canarias,2015
Número de clientes (CUPS),2,Sector del transporte,6,25859,Canarias,2015
Número de clientes (CUPS),2,Hostelería,7,46446,Canarias,2015
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,85176,Canarias,2015
Número de clientes (CUPS),2,Hogares,9,984832,Canarias,2015
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,15144,Canarias,2015
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,2793,Canarias,2015
Energía eléctrica,1,Disponible para consumo final,1,7930325.75,Canarias,2014
Energía eléctrica,1,Diferencias estadísticas,2,26331.47,Canarias,2014
Energía eléctrica,1,Consumo final,3,7903994.29,Canarias,2014
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,15160.63,Canarias,2014
Energía eléctrica,1,Sector industrial,5,552024.49,Canarias,2014
Energía eléctrica,1,Sector del transporte,6,249644.44,Canarias,2014
Energía eléctrica,1,Hostelería,7,1311524.62,Canarias,2014
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2696333.66,Canarias,2014
Energía eléctrica,1,Hogares,9,2850959.71,Canarias,2014
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,141603.36,Canarias,2014
Energía eléctrica,1,No especificado en otras categorías - Otros,11,86743.37,Canarias,2014
Número de clientes (CUPS),2,Disponible para consumo final,1,1173368,Canarias,2014
Número de clientes (CUPS),2,Diferencias estadísticas,2,-9452,Canarias,2014
Número de clientes (CUPS),2,Consumo final,3,1182820,Canarias,2014
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,97,Canarias,2014
Número de clientes (CUPS),2,Sector industrial,5,21095,Canarias,2014
Número de clientes (CUPS),2,Sector del transporte,6,26164,Canarias,2014
Número de clientes (CUPS),2,Hostelería,7,46823,Canarias,2014
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,84466,Canarias,2014
Número de clientes (CUPS),2,Hogares,9,985884,Canarias,2014
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,15267,Canarias,2014
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,3024,Canarias,2014
Energía eléctrica,1,Disponible para consumo final,1,7930325.75,Canarias,2013
Energía eléctrica,1,Diferencias estadísticas,2,26331.47,Canarias,2013
Energía eléctrica,1,Consumo final,3,7903994.29,Canarias,2013
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,15160.63,Canarias,2013
Energía eléctrica,1,Sector industrial,5,552024.49,Canarias,2013
Energía eléctrica,1,Sector del transporte,6,249644.44,Canarias,2013
Energía eléctrica,1,Hostelería,7,1311524.62,Canarias,2013
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2696333.66,Canarias,2013
Energía eléctrica,1,Hogares,9,2850959.71,Canarias,2013
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,141603.36,Canarias,2013
Energía eléctrica,1,No especificado en otras categorías - Otros,11,86743.37,Canarias,2013
Número de clientes (CUPS),2,Disponible para consumo final,1,1173368,Canarias,2013
Número de clientes (CUPS),2,Diferencias estadísticas,2,-9452,Canarias,2013
Número de clientes (CUPS),2,Consumo final,3,1182820,Canarias,2013
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,97,Canarias,2013
Número de clientes (CUPS),2,Sector industrial,5,21095,Canarias,2013
Número de clientes (CUPS),2,Sector del transporte,6,26164,Canarias,2013
Número de clientes (CUPS),2,Hostelería,7,46823,Canarias,2013
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,84466,Canarias,2013
Número de clientes (CUPS),2,Hogares,9,985884,Canarias,2013
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,15267,Canarias,2013
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,3024,Canarias,2013
Energía eléctrica,1,Disponible para consumo final,1,8265260.59,Canarias,2012
Energía eléctrica,1,Diferencias estadísticas,2,47354.14,Canarias,2012
Energía eléctrica,1,Consumo final,3,8217906.45,Canarias,2012
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,10520.25,Canarias,2012
Energía eléctrica,1,Sector industrial,5,504889.81,Canarias,2012
Energía eléctrica,1,Sector del transporte,6,229961.32,Canarias,2012
Energía eléctrica,1,Hostelería,7,1373388.33,Canarias,2012
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2705014.68,Canarias,2012
Energía eléctrica,1,Hogares,9,3157269.23,Canarias,2012
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,176473.93,Canarias,2012
Energía eléctrica,1,No especificado en otras categorías - Otros,11,60388.88,Canarias,2012
Número de clientes (CUPS),2,Disponible para consumo final,1,1156516,Canarias,2012
Número de clientes (CUPS),2,Diferencias estadísticas,2,15737,Canarias,2012
Número de clientes (CUPS),2,Consumo final,3,1140779,Canarias,2012
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,78,Canarias,2012
Número de clientes (CUPS),2,Sector industrial,5,20170,Canarias,2012
Número de clientes (CUPS),2,Sector del transporte,6,26682,Canarias,2012
Número de clientes (CUPS),2,Hostelería,7,51266,Canarias,2012
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,83765,Canarias,2012
Número de clientes (CUPS),2,Hogares,9,941197,Canarias,2012
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,15126,Canarias,2012
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,2495,Canarias,2012
Energía eléctrica,1,Disponible para consumo final,1,8231997.97,Canarias,2011
Energía eléctrica,1,Diferencias estadísticas,2,182862.11,Canarias,2011
Energía eléctrica,1,Consumo final,3,8049135.86,Canarias,2011
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,52212.04,Canarias,2011
Energía eléctrica,1,Sector industrial,5,517166.91,Canarias,2011
Energía eléctrica,1,Sector del transporte,6,233415.23,Canarias,2011
Energía eléctrica,1,Hostelería,7,1232759.13,Canarias,2011
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2688015.07,Canarias,2011
Energía eléctrica,1,Hogares,9,3134857.82,Canarias,2011
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,153693.55,Canarias,2011
Energía eléctrica,1,No especificado en otras categorías - Otros,11,37016.11,Canarias,2011
Número de clientes (CUPS),2,Disponible para consumo final,1,1152857,Canarias,2011
Número de clientes (CUPS),2,Diferencias estadísticas,2,,Canarias,2011
Número de clientes (CUPS),2,Consumo final,3,,Canarias,2011
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,,Canarias,2011
Número de clientes (CUPS),2,Sector industrial,5,,Canarias,2011
Número de clientes (CUPS),2,Sector del transporte,6,,Canarias,2011
Número de clientes (CUPS),2,Hostelería,7,,Canarias,2011
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,,Canarias,2011
Número de clientes (CUPS),2,Hogares,9,,Canarias,2011
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,,Canarias,2011
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,,Canarias,2011
Energía eléctrica,1,Disponible para consumo final,1,8232080.12,Canarias,2010
Energía eléctrica,1,Diferencias estadísticas,2,26423.39,Canarias,2010
Energía eléctrica,1,Consumo final,3,8205656.73,Canarias,2010
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,279241.96,Canarias,2010
Energía eléctrica,1,Sector industrial,5,557415.49,Canarias,2010
Energía eléctrica,1,Sector del transporte,6,24427.19,Canarias,2010
Energía eléctrica,1,Hostelería,7,1304979.49,Canarias,2010
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,3123462.64,Canarias,2010
Energía eléctrica,1,Hogares,9,2606027.32,Canarias,2010
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,211581.27,Canarias,2010
Energía eléctrica,1,No especificado en otras categorías - Otros,11,98521.37,Canarias,2010
Número de clientes (CUPS),2,Disponible para consumo final,1,1120976,Canarias,2010
Número de clientes (CUPS),2,Diferencias estadísticas,2,,Canarias,2010
Número de clientes (CUPS),2,Consumo final,3,,Canarias,2010
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,,Canarias,2010
Número de clientes (CUPS),2,Sector industrial,5,,Canarias,2010
Número de clientes (CUPS),2,Sector del transporte,6,,Canarias,2010
Número de clientes (CUPS),2,Hostelería,7,,Canarias,2010
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,,Canarias,2010
Número de clientes (CUPS),2,Hogares,9,,Canarias,2010
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,,Canarias,2010
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,,Canarias,2010
Energía eléctrica,1,Disponible para consumo final,1,684116.09,Lanzarote,2021
Energía eléctrica,1,Diferencias estadísticas,2,15681.71,Lanzarote,2021
Energía eléctrica,1,Consumo final,3,668434.39,Lanzarote,2021
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,172.12,Lanzarote,2021
Energía eléctrica,1,Sector industrial,5,22245.78,Lanzarote,2021
Energía eléctrica,1,Sector del transporte,6,720.21,Lanzarote,2021
Energía eléctrica,1,Hostelería,7,143676.38,Lanzarote,2021
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,256520.05,Lanzarote,2021
Energía eléctrica,1,Hogares,9,228686.52,Lanzarote,2021
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,1763.59,Lanzarote,2021
Energía eléctrica,1,No especificado en otras categorías - Otros,11,14649.73,Lanzarote,2021
Número de clientes (CUPS),2,Disponible para consumo final,1,82472,Lanzarote,2021
Número de clientes (CUPS),2,Diferencias estadísticas,2,4206,Lanzarote,2021
Número de clientes (CUPS),2,Consumo final,3,78266,Lanzarote,2021
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,37,Lanzarote,2021
Número de clientes (CUPS),2,Sector industrial,5,1987,Lanzarote,2021
Número de clientes (CUPS),2,Sector del transporte,6,39,Lanzarote,2021
Número de clientes (CUPS),2,Hostelería,7,4075,Lanzarote,2021
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,5558,Lanzarote,2021
Número de clientes (CUPS),2,Hogares,9,64633,Lanzarote,2021
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,268,Lanzarote,2021
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,1669,Lanzarote,2020
Energía eléctrica,1,Disponible para consumo final,1,669354.13,Lanzarote,2020
Energía eléctrica,1,Diferencias estadísticas,2,5833.82,Lanzarote,2020
Energía eléctrica,1,Consumo final,3,663520.31,Lanzarote,2020
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,109.68,Lanzarote,2020
Energía eléctrica,1,Sector industrial,5,24536.84,Lanzarote,2020
Energía eléctrica,1,Sector del transporte,6,2129.52,Lanzarote,2020
Energía eléctrica,1,Hostelería,7,119817.25,Lanzarote,2020
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,267309.07,Lanzarote,2020
Energía eléctrica,1,Hogares,9,234872.39,Lanzarote,2020
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,2377.68,Lanzarote,2020
Energía eléctrica,1,No especificado en otras categorías - Otros,11,12367.87,Lanzarote,2020
Número de clientes (CUPS),2,Disponible para consumo final,1,81727,Lanzarote,2020
Número de clientes (CUPS),2,Diferencias estadísticas,2,2050,Lanzarote,2020
Número de clientes (CUPS),2,Consumo final,3,79677,Lanzarote,2020
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,2,Lanzarote,2020
Número de clientes (CUPS),2,Sector industrial,5,2053,Lanzarote,2020
Número de clientes (CUPS),2,Sector del transporte,6,86,Lanzarote,2020
Número de clientes (CUPS),2,Hostelería,7,4411,Lanzarote,2020
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,5657,Lanzarote,2020
Número de clientes (CUPS),2,Hogares,9,65985,Lanzarote,2020
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,273,Lanzarote,2020
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,1210,Lanzarote,2019
Energía eléctrica,1,Disponible para consumo final,1,822887.73,Lanzarote,2019
Energía eléctrica,1,Diferencias estadísticas,2,-5504.27,Lanzarote,2019
Energía eléctrica,1,Consumo final,3,828392,Lanzarote,2019
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,74.06,Lanzarote,2019
Energía eléctrica,1,Sector industrial,5,24513.35,Lanzarote,2019
Energía eléctrica,1,Sector del transporte,6,12012.79,Lanzarote,2019
Energía eléctrica,1,Hostelería,7,210030.24,Lanzarote,2019
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,291330.67,Lanzarote,2019
Energía eléctrica,1,Hogares,9,257164.78,Lanzarote,2019
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,2494.52,Lanzarote,2019
Energía eléctrica,1,No especificado en otras categorías - Otros,11,30771.58,Lanzarote,2019
Número de clientes (CUPS),2,Disponible para consumo final,1,81206,Lanzarote,2019
Número de clientes (CUPS),2,Diferencias estadísticas,2,-1222,Lanzarote,2019
Número de clientes (CUPS),2,Consumo final,3,82428,Lanzarote,2019
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,13,Lanzarote,2019
Número de clientes (CUPS),2,Sector industrial,5,2033,Lanzarote,2019
Número de clientes (CUPS),2,Sector del transporte,6,1486,Lanzarote,2019
Número de clientes (CUPS),2,Hostelería,7,4664,Lanzarote,2019
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,4288,Lanzarote,2019
Número de clientes (CUPS),2,Hogares,9,67645,Lanzarote,2019
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,265,Lanzarote,2019
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,2034,Lanzarote,2018
Energía eléctrica,1,Disponible para consumo final,1,816536.06,Lanzarote,2018
Energía eléctrica,1,Diferencias estadísticas,2,3284.4,Lanzarote,2018
Energía eléctrica,1,Consumo final,3,813251.66,Lanzarote,2018
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,47.56,Lanzarote,2018
Energía eléctrica,1,Sector industrial,5,29561.92,Lanzarote,2018
Energía eléctrica,1,Sector del transporte,6,14406.26,Lanzarote,2018
Energía eléctrica,1,Hostelería,7,210468.02,Lanzarote,2018
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,272199.68,Lanzarote,2018
Energía eléctrica,1,Hogares,9,267080.33,Lanzarote,2018
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,2169.8,Lanzarote,2018
Energía eléctrica,1,No especificado en otras categorías - Otros,11,17318.1,Lanzarote,2018
Número de clientes (CUPS),2,Disponible para consumo final,1,80709,Lanzarote,2018
Número de clientes (CUPS),2,Diferencias estadísticas,2,-181,Lanzarote,2018
Número de clientes (CUPS),2,Consumo final,3,80890,Lanzarote,2018
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,6,Lanzarote,2018
Número de clientes (CUPS),2,Sector industrial,5,1975,Lanzarote,2018
Número de clientes (CUPS),2,Sector del transporte,6,1499,Lanzarote,2018
Número de clientes (CUPS),2,Hostelería,7,4562,Lanzarote,2018
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,3933,Lanzarote,2018
Número de clientes (CUPS),2,Hogares,9,67620,Lanzarote,2018
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,254,Lanzarote,2018
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,1041,Lanzarote,2017
Energía eléctrica,1,Disponible para consumo final,1,817520.61,Lanzarote,2017
Energía eléctrica,1,Diferencias estadísticas,2,13146.49,Lanzarote,2017
Energía eléctrica,1,Consumo final,3,804374.12,Lanzarote,2017
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,44.59,Lanzarote,2017
Energía eléctrica,1,Sector industrial,5,22229.35,Lanzarote,2017
Energía eléctrica,1,Sector del transporte,6,16224.2,Lanzarote,2017
Energía eléctrica,1,Hostelería,7,230919.35,Lanzarote,2017
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,277141.87,Lanzarote,2017
Energía eléctrica,1,Hogares,9,253323.87,Lanzarote,2017
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,1698.49,Lanzarote,2017
Energía eléctrica,1,No especificado en otras categorías - Otros,11,2792.39,Lanzarote,2017
Número de clientes (CUPS),2,Disponible para consumo final,1,79993,Lanzarote,2017
